filename|file_date
BDA 2018 5 27.txt|2018-05-27
BDA 2021 4 03.txt|2021-04-03
BDA 2015 4 29.txt|2015-04-29
BDA 2023 10 29.txt|2023-10-29
BDA 2023 10 15.txt|2023-10-15
BDA 2015 4 15.txt|2015-04-15
BDA 2015 4 01.txt|2015-04-01
BDA 2023 10 01.txt|2023-10-01
BDA 2021 1 27.txt|2021-01-27
BDA 2020 8 17.txt|2020-08-17
BDA 2018 10 23.txt|2018-10-23
BDA 2018 7 22.txt|2018-07-22
BDA 2020 6 06.txt|2020-06-06
BDA 2015 1 25.txt|2015-01-25
BDA 2015 8 01.txt|2015-08-01
BDA 2015 10 08.txt|2015-10-08
BDA 2017 7 09_3705.txt|2017-07-09
BDA 2014 6 04.txt|2014-06-04
BDA 2015 6 10.txt|2015-06-10
BDA 2015 10 20.txt|2015-10-20
BDA 2014 1 19.txt|2014-01-19
BDA 2013 12 22.txt|2013-12-22
BDA 2016 2 27.txt|2016-02-27
BDA 2023 5 10.txt|2023-05-10
BDA 2020 12 24.txt|2020-12-24
BDA 2022 5 04.txt|2022-05-04
BDA 2023 2 19.txt|2023-02-19
BDA 2020 12 30.txt|2020-12-30
BDA 2022 5 11.txt|2022-05-11
BDA 2020 12 19.txt|2020-12-19
BDA 2017 5 07.txt|2017-05-07
BDA 2017 2 26.txt|2017-02-26
BDA 2014 11 16.txt|2014-11-16
BDA 2014 6 11.txt|2014-06-11
BDA 2015 1 18.txt|2015-01-18
BDA 2014 11 02.txt|2014-11-02
BDA 2020 6 13.txt|2020-06-13
BDA 2020 8 02.txt|2020-08-02
BDA 2018 9 26.txt|2018-09-26
BDA 2020 1 26.txt|2020-01-26
BDA 2020 8 16.txt|2020-08-16
BDA 2015 12 30.txt|2015-12-30
BDA 2014 3 09.txt|2014-03-09
BDA 2022 11 23.txt|2022-11-23
BDA 2015 3 21.txt|2015-03-21
BDA 2020 4 16.txt|2020-04-16
BDA 2019 5 26.txt|2019-05-26
BDA 2019 2 07.txt|2019-02-07
BDA 2021 11 03.txt|2021-11-03
BDA 2016 12 04.txt|2016-12-04
BDA 2021 11 17.txt|2021-11-17
BDA 2022 9 11.txt|2022-09-11
BDA 2016 7 16.txt|2016-07-16
BDA 2017 7 02.txt|2017-07-02
BDA 2017 7 16.txt|2017-07-16
BDA 2016 9 07.txt|2016-09-07
BDA 2017 9 13.txt|2017-09-13
BDA 2016 9 11.txt|2016-09-11
BDA 2022 9 07.txt|2022-09-07
BDA 2023 9 13.txt|2023-09-13
BDA 2023 7 02.txt|2023-07-02
BDA 2020 3 21.txt|2020-03-21
BDA 2021 4 28.txt|2021-04-28
BDA 2021 3 21.txt|2021-03-21
BDA 2018 2 11.txt|2018-02-11
BDA 2018 5 30.txt|2018-05-30
BDA 2021 4 14.txt|2021-04-14
BDA 2022 11 09.txt|2022-11-09
BDA 2014 3 23.txt|2014-03-23
BDA 2014 4 16.txt|2014-04-16
BDA 2014 4 02.txt|2014-04-02
BDA 2019 11 17.txt|2019-11-17
BDA 2018 10 20.txt|2018-10-20
BDA 2021 1 30.txt|2021-01-30
BDA 2021 1 24.txt|2021-01-24
BDA 2019 11 03.txt|2019-11-03
BDA 2018 9 30.txt|2018-09-30
BDA 2018 9 18.txt|2018-09-18
BDA 2019 7 21.txt|2019-07-21
BDA 2019 9 18.txt|2019-09-18
BDA 2014 1 26.txt|2014-01-26
BDA 2015 8 16.txt|2015-08-16
BDA 2015 8 02.txt|2015-08-02
BDA 2015 6 07.txt|2015-06-07
BDA 2015 6 13.txt|2015-06-13
BDA 2017 11 08.txt|2017-11-08
BDA 2023 5 07.txt|2023-05-07
BDA 2020 12 27.txt|2020-12-27
BDA 2016 10 02.txt|2016-10-02
BDA 2017 11 21.txt|2017-11-21
BDA 2016 10 16.txt|2016-10-16
BDA 2022 2 27.txt|2022-02-27
BDA 2013 12 08.txt|2013-12-08
BDA 2017 2 19.txt|2017-02-19
BDA 2014 11 15.txt|2014-11-15
BDA 2014 8 17.txt|2014-08-17
